"Reference","Value","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Price","Qty"
"C1","4.7n","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","https://www.mouser.com/ProductDetail/KEMET/R60QF14704001K?qs=w%2Fv1CP2dgqrzz3BW9Lijdg%3D%3D","","","","","","0.46","1"
"Conn1","AndersonPP","0-customs:Square_Anderson_2_H_Side_By_Side","https://powerwerx.com/anderson-powerpole-colored-housings","","","","","","1.84","1"
"Conn2","Molex_SL_05","0-customs:MOLEX_SL_05_Horizontal","","","","","","","","1"
"IC1","BTS3800SL","0-customs:BTS3800SL","https://www.mouser.com/ProductDetail/Infineon-Technologies/BTS3800SL?qs=UlfnwZ2x8nQzRqUMCLT9CA%3D%3D","1.1","Infineon","BTS3800SL","726-BTS3800SL","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BTS3800SL?qs=UlfnwZ2x8nQzRqUMCLT9CA%3D%3D","0.95","1"
"K1, K2","","0-customs:AECN11012","https://www.mouser.com/ProductDetail/Panasonic-Industrial-Devices/AECN11012?qs=vmHwEFxEFR%2FxpGCT4n%2FbmQ%3D%3D","","","","","","38.77","2"
"Q1","IRF740ASPBF","Package_TO_SOT_SMD:TO-263-2","https://www.mouser.com/ProductDetail/Vishay-Semiconductors/IRF740ASPBF?qs=I1ZA2VTqfvSWXSCbb2jmeg%3D%3D","","","","","","2.28","1"
"R1","650k","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW2512649KFKEG?qs=WpL82mpZNv9YmPWivNEPLA%3D%3D","","","","","","0.37","1"
"R2","5k6","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW25125K60FKEG?qs=WpL82mpZNv%252BDAPMX1UK%2Frw%3D%3D","","","","","","0.38","1"
"U1","MCP6497T-E/SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.mouser.com/ProductDetail/Microchip-Technology/MCP6497T-E-SN?qs=8Wlm6%252BaMh8Sq3ZIB9JIi0Q%3D%3D","","","","","","0.76","1"
"V1","BATT_PWR_VIA","0-customs:via_L1000mil_W1000mil","","","","","","","","1"
"V2-V5","BATT_PWR_VIA","0-customs:via_L2000mil_W1000mil","","","","","","","","4"
